S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,,
1,"Blessed be the God and Father of our Lord Jesus Christ, which according to his abundant mercy hath begotten us again unto a lively hope by the resurrection of Jesus Christ from the dead,",1PETER 1:3,1PETER 1:7,1PETER 1:13,1PETER 1:22,1,,
2,"That the trial of your faith, being much more precious than of gold that perisheth, though it betried with fire, might be found unto praise and honour and glory at the appearing of Jesus Christ:",1PETER 1:7,1PETER 1:13,1PETER 1:22,1PETER 1:23,1,,
3,"Wherefore gird up the loins of your mind, be sober, and hope to the end for the grace that is to be brought unto you at the revelation of Jeus Christ;",1PETER 1:7,1PETER 1:13,1PETER 1:22,1PETER 1:23,2,,
4,"Seeing ye have purified your souls in obeying the truth through the Spirit unto unfeigned love of the brethren, see that ye love one another with a pure heart fervently:",1PETER 1:7,1PETER 1:13,1PETER 1:22,1PETER 1:23,3,,
5,"Being born again, not of corruptible seed, but of incorruptible, by the word of God, which liveth and abideth for ever.",1PETER 1:7,1PETER 1:13,1PETER 1:22,1PETER 1:23,4,,
6,But the word of the Lord endureth for ever. And this is the word which by the gospel is preached unto you.,1PETER 1:13,1PETER 1:22,1PETER 1:23,1PETER 1:25,4,,
7,"As new born babes, desire the sincere milk of the word, that ye may grow thereby:",1PETER 2:2,1PETER 2:3,1PETER 2:9,1PETER 3:13,1,,
8,If so be ye have tasted that the Lord is gracious.,1PETER 2:2,1PETER 2:3,1PETER 2:9,1PETER 3:13,2,,
9,"Wherefore also it is contained in the scripture, Behold, I lay in Sion a chief corner stone, elect, precious: and he that believeth on him shall not be confounded.",1PETER 2:2,1PETER 2:3,1PETER 2:7,1PETER 2:9,3,,
10,"But ye are a chosen generation, a royal priesthood, an holy nation, a peculiar people; that ye should shew forth the praises of him who hath called you out of darkness into his marvellous light:",1PETER 2:2,1PETER 2:3,1PETER 2:9,1PETER 3:13,3,,
11,Submit yourselves to every ordinance of man for the Lord's sake: whether it be to the king as supreme;,1PETER 2:13,1PETER 2:15,1PETER 2:17,1PETER 2:24,1,,
12,Honour all men. Love the brotherhood. Fear God. Honour the king.,1PETER 2:13,1PETER 2:15,1PETER 2:17,1PETER 2:24,2,,
13,"Who his own self bare our sins in his own body on the tree, that w, being dead to sins, should live unto righteousness: by whose stripes ye were healed.",1PETER 2:13,1PETER 2:15,1PETER 2:17,1PETER 2:24,4,,
14,"Whose adorning let it not be that outward adorning of plaiting the hair, and of wearing of gold, or of putting on of apparel;",1PETER 3:3,1PETER 3:4,1PETER 3:7,1PETER 3:10,1,,
15,"But let it be the hidden man of the heart, in that which is not corruptible, even the ornament of a meek and quiet spirit, which is in the sight of God of great price.",1PETER 3:3,1PETER 3:4,1PETER 3:7,1PETER 3:10,2,,
16,"Likewise, ye husbands, dwell with them according to knowledge, giving honour unto the wife, as unto the weaker vessel, and as being heirs together of the grace of life; that your prayers be not hindered.",1PETER 3:3,1PETER 3:4,1PETER 3:7,1PETER 3:10,3,,
17,"For he that will love life, and see good days, let him refrain his tongue from evil, and his lips that they speak no guile:",1PETER 3:3,1PETER 3:4,1PETER 3:7,1PETER 3:10,4,,
18,"For the eyes of the Lord are over the righteous, and his ears are open unto their prayers: but the face of the Lord is against them that do evil.",1PETER 3:10,1PETER 3:12,1PETER 3:13,1PETER 3:17,2,,
19,"And who is he that will harm you, if ye be followers of that which is good?",1PETER 3:10,1PETER 3:12,1PETER 3:13,1PETER 3:17,3,,
20,"For it is better if the will of God be so, that ye suffer for well doing, than for evil doing.",1PETER 3:10,1PETER 3:12,1PETER 3:13,1PETER 3:17,4,,
21,"Forasmuch then as Christ hath suffered in the flesh, arm yourselves likewise with the same mind: for he that hath suffered in the flesh hath ceased from sin;",1PETER 4:1,1PETER 4:7,1PETER 4:11,1PETER 4:17,1,,
22,"But the end of all things is at hand: be ye therefore sober, and watch unto prayer.",1PETER 4:1,1PETER 4:7,1PETER 4:11,1PETER 4:17,2,,
23,"If any man speak, let him speak as the oracles of God; if any man minister, let him do it as of the ability which God giveth: that God in all things may be glorified through Jesus Christ, to whom be praise and dominion for ever and ever. Amen.",1PETER 4:1,1PETER 4:7,1PETER 4:11,1PETER 4:17,3,,
24,"For the time is come that judgment must begin at the house of God: and if it first begin at us, what shall the end be of them that obey not the gospel of God?",1PETER 4:1,1PETER 4:7,1PETER 4:11,1PETER 4:17,4,,
25,"And if the righteous scarcely be saved, where shall the ungodly and the sinner appear?",1PETER 4:7,1PETER 4:11,1PETER 4:17,1PETER 4:18,4,,
26,"Humble yourselves therefore under the mighty hand of God, that he may exalt you in due time.",1PETER 5:5,1PETER 5:6,1PETER 5:7,1PETER 5:8,2,,
27,Casting all your care upon him; for he careth for you.,1PETER 5:5,1PETER 5:6,1PETER 5:7,1PETER 5:8,3,,
28,"Be sober be vigilant; because your adeversary the devil, as aroaring lion, walketh about, seeking whom he may devour:",1PETER 5:5,1PETER 5:6,1PETER 5:7,1PETER 5:8,4,,
