S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER
1,"Now I beseech you, brethren by the name of our Lord Jesus Christ, that ye all speak the same thing, and that there be no divisions among you; but that ye be perfectly joined together in the same mind and in the same judgment.",1CORINTHIANS 1:10,1CORINTHIANS 1:18,1CORINTHIANS 1:19,1CORINTHIANS 1:27,1
2,For the preaching of the cross is to them that perish foolishness; but unto us which are saved is the power of God.,1CORINTHIANS 1:10,1CORINTHIANS 1:18,1CORINTHIANS 1:19,1CORINTHIANS 1:27,2
3,"For it is written I will destroy the wisdom of the wise, and will bring to nothing the understanding of the prudent.",1CORINTHIANS 1:10,1CORINTHIANS 1:18,1CORINTHIANS 1:19,1CORINTHIANS 1:27,3
4,But God hath chosen the foolish things of the world to confound the wise; and God hath chosen the weak things of the world to confound the things that are mighty;,1CORINTHIANS 1:10,1CORINTHIANS 1:18,1CORINTHIANS 1:19,1CORINTHIANS 1:27,4
5,"That, according as it is written, He that glorieth, let him glory in the Lord.",1CORINTHIANS 1:27,1CORINTHIANS 1:31,1CORINTHIANS 2:9,1CORINTHIANS 2:10,2
6,"But as it is written, Eye hath not seen, nor ear heard, neither have entered into the heart of man the things which God hath prepared for them that love him.",1CORINTHIANS 2:9,1CORINTHIANS 2:10,1CORINTHIANS 2:12,1CORINTHIANS 2:14,1
7,"But God hath revealed them unto us by his Spirit: for the Spirit searcheth all thinhs, yead, the deep things of God.",1CORINTHIANS 2:9,1CORINTHIANS 2:10,1CORINTHIANS 2:12,1CORINTHIANS 2:14,2
8,"Now we have received, not the spirit of the world, but the spirit which is of God; that we might know the things that are freely given to us of God.",1CORINTHIANS 2:9,1CORINTHIANS 2:10,1CORINTHIANS 2:12,1CORINTHIANS 2:14,3
9,"But the natural man receiveth not the things of the Spirit of God: for they are foolishness unto him: neither can he know them, because they are spiritually discerned.",1CORINTHIANS 2:9,1CORINTHIANS 2:10,1CORINTHIANS 2:12,1CORINTHIANS 2:14,4
10,"For who hath known the mind of the Lord, that he may instruct him? But we have the mind of Christ.",1CORINTHIANS 2:9,1CORINTHIANS 2:10,1CORINTHIANS 2:14,1CORINTHIANS 2:16,1
11,"So then neither is he that planteth any thing, neither he that watereth; but God that giveth the increase.",1CORINTHIANS 3:7,1CORINTHIANS 3:8,1CORINTHIANS 3:9,1CORINTHIANS 3:10,1
12,Now he that planteth and he that watereth are one: and every man shall receive his own reward according to his own labour.,1CORINTHIANS 3:7,1CORINTHIANS 3:8,1CORINTHIANS 3:9,1CORINTHIANS 3:10,2
13,"For ye are labourers together with God: ye are God's husbandry, ye are God's building.",1CORINTHIANS 3:7,1CORINTHIANS 3:8,1CORINTHIANS 3:9,1CORINTHIANS 3:10,3
14,"According to the grace of God which is given uno me, as a wise masterbuilder, I have laid the foundation, and another buildeth thereon. But let everyman take heed how he buildeth thereupon.",1CORINTHIANS 3:7,1CORINTHIANS 3:8,1CORINTHIANS 3:9,1CORINTHIANS 3:10,4
15,"For other foundation can no man lay than that is laid, which is Jesus Christ.",1CORINTHIANS 3:11,1CORINTHIANS 3:13,1CORINTHIANS 3:16,1CORINTHIANS 3:17,1
16,"Every man's work shall be made manifest: for the day shall declare it, because it shall be revealed by fire; and the fire shall try every man's work of what sort it sis.",1CORINTHIANS 3:11,1CORINTHIANS 3:13,1CORINTHIANS 3:16,1CORINTHIANS 3:17,2
17,"Know ye not that ye are the temple of God, and that the Spirit of God dwelleth in you?",1CORINTHIANS 3:11,1CORINTHIANS 3:13,1CORINTHIANS 3:16,1CORINTHIANS 3:17,3
18,"If any man defile the temple of God, him shall God destry; for the temple of God is holy, which temple ye are.",1CORINTHIANS 3:11,1CORINTHIANS 3:13,1CORINTHIANS 3:16,1CORINTHIANS 3:17,4
19,"Let no man deceive himself. If any man among you seemeth to be wise in this world, let him become a fool, that he may be wise.",1CORINTHIANS 3:18,1CORINTHIANS 3:19,1CORINTHIANS 3:20,1CORINTHIANS 3:23,1
20,"For the wisdom of this world is foolishness with God. For it is written, He taketh the wise in their own craftiness.",1CORINTHIANS 3:18,1CORINTHIANS 3:19,1CORINTHIANS 3:20,1CORINTHIANS 3:23,2
21,"And again, The Lord knoweth the thoughts of the wise, that they are vain.",1CORINTHIANS 3:18,1CORINTHIANS 3:19,1CORINTHIANS 3:20,1CORINTHIANS 3:23,3
22,And ye are Christ's; and Christ is God's.,1CORINTHIANS 3:18,1CORINTHIANS 3:19,1CORINTHIANS 3:20,1CORINTHIANS 3:23,4
23,"Therefore judge nothing before the time, until the Lord come, who both will bring to light the hidden things of darkness, and will make manifest the counsels of the hearts: and then shall every man have praise of God.",1CORINTHIANS 4:5,1CORINTHIANS 4:10,1CORINTHIANS 4:15,1CORINTHIANS 4:16,1
24,"We are fools for Christ's sake, but ye are wise in Christ; we are weak, but ye are strong; ye are Honourable, but we are despised.",1CORINTHIANS 4:5,1CORINTHIANS 4:10,1CORINTHIANS 4:15,1CORINTHIANS 4:16,2
25,"For though ye have ten thousand instrcutors in Christ, yet have ye not many fathers: for in Christ Jesus I have begotten you through the gospel.",1CORINTHIANS 4:5,1CORINTHIANS 4:10,1CORINTHIANS 4:15,1CORINTHIANS 4:16,3
26,"Wherefore I beseech you, be ye followers of me.",1CORINTHIANS 4:5,1CORINTHIANS 4:10,1CORINTHIANS 4:15,1CORINTHIANS 4:16,4
27,"For the kingdom of God is not in word, but in power.",1CORINTHIANS 4:10,1CORINTHIANS 4:20,1CORINTHIANS 5:6,1CORINTHIANS 5:7,2
28,Your glorying is not good. Know ye not that a little leaven leaveneth the whole lump?,1CORINTHIANS 4:10,1CORINTHIANS 4:20,1CORINTHIANS 5:6,1CORINTHIANS 5:7,3
29,"Purge out therefore the old leaven, that ye may be a new lump, as ye are unleavened. For even Christ our passover is sacrificed for us:",1CORINTHIANS 4:10,1CORINTHIANS 4:20,1CORINTHIANS 5:6,1CORINTHIANS 5:7,4
30,"Do ye not know that the saints shall judge the world? And if the world shall be judged by you, are ye unworthy to judge the smallest matters?",1CORINTHIANS 6:2,1CORINTHIANS 6:3,1CORINTHIANS 6:9,1CORINTHIANS 6:10,1
31,Know ye not that we shall judge angels? How much more things that pertain to this life?,1CORINTHIANS 6:2,1CORINTHIANS 6:3,1CORINTHIANS 6:9,1CORINTHIANS 6:10,2
32,"Know ye not that the unrighteous shall not inherit the kingdom of God? Be not deceived: neither fornicators, nor idolaters, nor adulterers, nor effeminate, nor abusers of themselves with mankind,",1CORINTHIANS 6:2,1CORINTHIANS 6:3,1CORINTHIANS 6:9,1CORINTHIANS 6:10,3
33,"Nor thieves, nor covetous, nor drunkards, nor revilers, nor extortioners, shall inherit the kingdom of God.",1CORINTHIANS 6:2,1CORINTHIANS 6:3,1CORINTHIANS 6:9,1CORINTHIANS 6:10,4
